StarID,HIP,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,PMRA,PMDec,RV,Mag,AbsMag,Spectrum,ColorIndex,X,Y,Z,VX,VY,VZ
12082,12114,16160,753,Gl 105  A,,268 G. Cet,2.6010645700,6.8833642300,7.2087658593,1806.2700000000,1442.5000000000,26,5.7900000000,6.5006954007,K3V,0.9180000000,5.5606200000,4.5054700000,0.8639600000,-0.0000239200,0.0000618590,0.0000532330
72958,73184,131977,5568,Gl 570  A,,33 G. Lib,14.9575976600,-21.4112809000,5.9059768486,1034.1800000000,-1725.6000000000,29,5.7200000000,6.8635412990,K4V,1.0240000000,-3.9308500000,-3.8445300000,-2.1560300000,0.0000137880,-0.0000279300,-0.0000568590
15471,15510,20794,1008,Gl 139,,82 G. Eri,3.3314513400,-43.0715492900,6.0598715307,3038.0800000000,726.3400000000,87,4.2600000000,5.3476829139,G8V,0.7110000000,2.8471200000,3.3896800000,-4.1383500000,-0.0000173070,0.0001181580,-0.0000449660
3759,3765,4628,222,Gl  33,,96 G. Psc,0.8062591900,5.2833887300,7.4604595643,758.0400000000,-1141.2200000000,-10,5.7400000000,6.3761720958,K2V,0.8900000000,7.2638800000,1.5564300000,0.6869700000,-0.0000119850,0.0000254690,-0.0000420390
21368,21421,29139,1457,Gl 171.1A,87Alp Tau,Aldebaran,4.5986667900,16.5097616400,19.9640646836,62.7800000000,-189.3600000000,55,0.8700000000,-0.6312448416,K5III,1.5380000000,6.8657400000,17.8672400000,5.6733600000,0.0000153650,0.0000569250,-0.0000017310
104862,105199,203280,8162,Gl 826,5Alp Cep,Alderamin,21.3096059800,62.5854552900,14.9611011370,149.9100000000,48.2700000000,-12,2.4500000000,1.5751822061,A7IV-V,0.2570000000,5.2492600000,-4.4605100000,13.2809400000,0.0000005450,0.0000138040,-0.0000088280
62758,62956,112185,4905,,77Eps UMa,Alioth,12.9004536000,55.9598430100,24.8138957816,111.7400000000,-8.9900000000,-9,1.7600000000,-0.2134747693,A0p,-0.0220000000,-13.5059900000,-3.2441900000,20.5619200000,0.0000072770,-0.0000120750,-0.0000082320
76036,76267,139006,5793,,5Alp CrB,Alphekka,15.5781081900,26.7149104100,22.9095074456,120.3800000000,-89.4400000000,2,2.2200000000,0.4199212402,A0V,0.0320000000,-12.1231300000,-16.4865200000,10.2990000000,0.0000070420,-0.0000129890,-0.0000079530
97339,97649,187642,7557,Gl 768,53Alp Aql,Altair,19.8463005700,8.8673849100,5.1429746966,536.8200000000,385.5400000000,-26,0.7600000000,2.2039280620,A7IV-V,0.2210000000,2.3616600000,-4.4993500000,0.7927700000,-0.0000010950,0.0000308840,0.0000053820
2076,2081,2261,99,,Alp Phe,Ankaa,0.4380187100,-42.3051219700,23.7304224015,232.7600000000,-353.6400000000,75,2.4000000000,0.5234726564,K0III...,1.0830000000,17.4350600000,2.0081400000,-15.9724400000,0.0000260890,0.0000299580,-0.0000817150
