StarID	HIP	HD	HR	Gliese	BayerFlamsteed	ProperName	RA	Dec	Distance	PMRA	PMDec	RV	Mag	AbsMag	Spectrum	ColorIndex	X	Y	Z	VX	VY	VZ
118542	0			GJ 1111			8,49830034	26,7868882859	3,6258158086	-1141,109	-601,638	-5	14,81	17,0129713092	M6.5	2,06	-1,96925	2,56874	1,63405	0,000015795	0,000012362	-0,000011744
108527	108870	209100	8387	Gl 845	Eps Ind		22,05484433	-56,77980602	3,6263417464	3959,97	-2538,84	-40,4	4,69	6,892656352	K5V	1,056	1,73463	-0,96855	-3,03369	-0,000018426	0,000090019	0,000010113
8087	8102	10700	509	Gl  71	52Tau Cet		1,73475762	-15,93955597	3,6473720684	-1721,82	854,07	-17	3,49	5,6800996602	G8V	0,727	3,15162	1,5386	-1,00165	0,000002059	-0,000032872	0,000019295
5632	5643			Gl  54.1			1,20830617	-17,00053959	3,7167812674	1210,09	646,95	28	12,1	14,2491649819	M5.5Ve	1,85	3,378	1,1057	-1,08671	0,000022482	0,0000303	0,000002774
36107	36208			Gl 273		Luyten's Star	7,45671236	5,23476432	3,7985261718	571,27	-3694,25	18,2	9,84	11,9419243848	M5	1,573	-1,40787	3,51092	0,34656	-0,000018972	0,000019049	-0,000066044
24129	24186	33793		Gl 191		Kapteyn's Star	5,19311469	-45,00448677	3,917574238	6506,05	-5731,39	245,5	8,86	10,8949138245	M0V	1,543	0,58078	2,70835	-2,77036	-0,000099728	0,000124225	-0,000254513
104752	105090	202560		Gl 825		Lacaille 8760	21,28825311	-38,86457451	3,9467971741	-3259	-1146,99	28,2	6,69	8,7087759571	M1/M2V	1,397	2,33065	-2,00299	-2,47654	-0,000034053	-0,000052951	-0,000035184
110548	110893	239960		Gl 860  A		Kruger 60	22,46678266	57,69702005	4,007694774	-870,23	-471,1	-33,3	9,59	11,5755268087	M2V	1,613	1,97146	-0,83676	3,38744	-0,000016237	-0,000011474	-0,000033677
119506	0			Gl 860  B			22,4680581715	57,7020580828	4,007694774	-854,681	-391,303	-31,7	11,3	13,2855268087	M6 V	1,8	1,97147	-0,83599	3,38762	-0,000016514	-0,000011033	-0,000031466
30847	30920			Gl 234  A			6,48972086	-2,81247539	4,1170900408	694,73	-618,62	16,7	11,12	13,0470481744	M4.5Ve	1,69	-0,52576	4,07838	-0,20201	-0,000015855	0,000014545	-0,000013169
118429	0			Gl 234  B			6,4892887968	-2,8025385324	4,1170900408	702,475	-697,587		14,6	16,5270481744			-0,52531	4,07847	-0,2013	-0,000013818	-0,000002466	-0,000013906
72285	72511			Gl 563.2B			14,82597591	-26,1060337	4,2509777249	-1389,7	135,76	44	11,72	13,5775558537	M	1,48	-2,81936	-2,5735	-1,87057	-0,000050061	-0,00000692	-0,000017289
