StarID,HIP,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,PMRA,PMDec,RV,Mag,AbsMag,Spectrum,ColorIndex,X,Y,Z,VX,VY,VZ
0.000000,,,,,,Sol,0.000000,0.000000,0.000005,0.000000,0.000000,0.000000,-26.730000,4.850000,G2V,0.656000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
70667.000000,70890.000000,,,Gl 551,,Proxima Centauri,14.496597,-62.681352,1.294783,-3775.640000,768.160000,-16.000000,11.010000,15.449015,M5Ve,1.807000,-0.471750,-0.361320,-1.150370,-0.000012,0.000021,0.000017
71457.000000,71683.000000,128620.000000,5459.000000,Gl 559  A,Alp1Cen,Rigel Kentaurus A,14.661361,-60.835147,1.347491,-3678.190000,481.840000,-26.200000,-0.010000,4.342371,G2V,0.710000,-0.503620,-0.421390,-1.176650,-0.000008,0.000025,0.000025
71454.000000,71681.000000,128621.000000,5460.000000,Gl 559  B,Alp2Cen,Rigel Kentaurus B,14.660942,-60.839471,1.347491,-3600.350000,952.110000,-18.100000,1.350000,5.702371,K1V,0.900000,-0.503590,-0.421280,-1.176700,-0.000012,0.000020,0.000019
87666.000000,87937.000000,,,Gl 699,,Barnard's Star,17.963602,4.668288,1.821460,-797.840000,10326.930000,-111.000000,9.540000,13.237901,sdM4,1.570000,-0.017290,-1.815330,0.148240,-0.000006,0.000121,0.000082
118721.000000,0.000000,,,Gl 406,,,10.945023,7.053054,2.390629,-3822.949000,-2716.828000,13.000000,13.450000,16.557439,M6,2.000000,-2.282620,0.646970,0.293540,-0.000004,0.000047,-0.000030
53879.000000,54035.000000,95735.000000,,Gl 411,,Lalande 21185,11.055726,35.981464,2.548420,-580.200000,-4767.090000,-84.300000,7.490000,10.458645,M2V,1.502000,-1.999500,0.504620,1.497250,0.000036,-0.000002,-0.000098
118080.000000,0.000000,,,Gl  65  A,,,1.647131,-17.957565,2.626740,3312.946000,560.342000,29.000000,12.570000,15.472914,dM5.5e,1.850000,2.270030,1.044430,-0.809850,0.000010,0.000051,-0.000002
118081.000000,0.000000,,,Gl  65  B,,,1.647131,-17.957565,2.626740,3312.946000,560.342000,32.000000,12.700000,15.602914,dM5.5e,,2.270030,1.044430,-0.809850,0.000013,0.000052,-0.000003
118442.000000,0.000000,,,Gl 244  B,,,6.753062,-16.698531,2.637061,-543.198000,-1203.052000,,8.440000,11.334399,DA2,-0.030000,-0.494750,2.476920,-0.757720,0.000008,-0.000003,-0.000015
32263.000000,32349.000000,48915.000000,2491.000000,Gl 244  A,9Alp CMa,Sirius,6.752569,-16.713143,2.637061,-546.010000,-1223.080000,-9.400000,-1.440000,1.454399,A0m...,0.009000,-0.494390,2.476800,-0.758360,0.000010,-0.000012,-0.000012
92116.000000,92403.000000,,,Gl 729,,,18.830266,-23.835765,2.971945,637.550000,-192.470000,-12.100000,10.370000,13.004796,M3.5Ve,1.510000,0.586250,-2.654490,-1.201010,0.000006,0.000014,0.000002
119586.000000,0.000000,,,Gl 905,,,23.698301,44.197255,3.168568,84.260000,-1607.793000,-77.700000,12.290000,14.785685,dM6  e,1.900000,2.264600,-0.179240,2.208900,-0.000040,0.000004,-0.000073
16496.000000,16537.000000,22049.000000,1084.000000,Gl 144,18Eps Eri,,3.549006,-9.458306,3.218021,-976.440000,17.970000,16.900000,3.720000,6.182056,K2V,0.881000,1.899900,2.542900,-0.528810,0.000022,0.000005,-0.000003
113688.000000,114046.000000,217987.000000,,Gl 887,,Lacaille 9352,23.096435,-35.856297,3.290556,6767.260000,1326.660000,9.500000,7.350000,9.763654,M2/M3V,1.483000,2.592680,-0.625000,-1.927450,0.000045,0.000100,0.000011
57376.000000,57548.000000,,,Gl 447,,,11.795568,0.807526,3.338007,605.620000,-1219.230000,-31.100000,11.120000,13.502564,M4.5V,1.746000,-3.332890,0.178540,0.047040,0.000031,-0.000011,-0.000020
119519.000000,0.000000,,,Gl 866  A,,,22.640375,-15.333557,3.397893,2361.367000,2233.034000,-60.000000,12.660000,15.003951,M5  e,1.980000,3.071520,-1.141940,-0.898530,-0.000033,0.000054,0.000052
103880.000000,104214.000000,201091.000000,8085.000000,Gl 820  A,61    Cyg,,21.114121,38.741494,3.482743,4155.100000,3258.900000,-64.800000,5.200000,7.490393,K5V,1.069000,1.977350,-1.862590,2.179520,-0.000015,0.000110,0.000001
118494.000000,0.000000,,,Gl 280  B,,,7.655656,5.241017,3.497359,-702.343000,-1021.916000,,10.700000,12.981299,DA,,-1.462760,3.160660,0.319460,0.000010,0.000006,-0.000017
37173.000000,37279.000000,61421.000000,2943.000000,Gl 280  A,10Alp CMi,Procyon,7.655149,5.227508,3.497359,-716.570000,-1034.580000,-4.000000,0.400000,2.681299,F5IV-V,0.432000,-1.462370,3.160920,0.318640,0.000012,0.000003,-0.000018
